"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","varname","response","button_pressed"
"true","fullscreen","0","1585","0.0-0.0","","","","","","",""
"","html-keyboard-response","1","2298","0.0-1.0","704.1350000000002","
    <p style=""font: bold 32pt 微软雅黑; color: #B22222"">
    欢迎参与我们的实验</p>
    <p style=""font: 20pt 微软雅黑; color: black""><br/>
    <按空格键继续><br/>
    <b>实验过程中请勿退出全屏</b><br/><br/></p>
    <p style=""font: 20pt 华文中宋; color: grey"">
    北京师范大学 <br/>2020年</p>","32","","","",""
"","survey-html-form","2","4190","0.0-2.0-0.0","1889.2050000000004","","","1","ID","1",""
"","html-button-response","3","4991","0.0-2.0-1.0","799.6699999999992","您的性别","","","Sex","2","1"
"","survey-html-form","4","6447","0.0-2.0-2.0","1455.0650000000005","","","10","Age","10",""
"","survey-html-form","5","7764","0.0-2.0-3.0","1316.125000000001","","","1.硕士研究生及以上","Education","1.硕士研究生及以上",""
"","html-keyboard-response","6","8225","0.0-3.0","460.35499999999956","
    <p style=""font: 24pt 微软雅黑; color: black"">
    在本实验中…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","7","8665","0.0-4.0-0.0","439.72000000000116","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","8","9571","0.0-4.0-1.0","null","+","null","","","",""
"","html-slider-response","9","11095","0.0-4.0-2.0","1521.6400000000012","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","10","16876","0.0-4.0-3.0","5779.779999999997","","","","","","0"
"","html-slider-response","11","19291","0.0-4.0-4.0","2412.2149999999965","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","12","20066","0.0-4.0-5.0","774.3250000000007","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","13","20361","0.0-4.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","14","21346","0.0-4.0-6.0-1.0","983.4900000000016","IMG_PE/PE9.bmp","68","","","",""
"","html-keyboard-response","15","21641","0.0-4.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","16","22002","0.0-4.0-6.0-1.1","360.27500000000146","IMG_NO/No4.bmp","75","","","",""
"","html-keyboard-response","17","22297","0.0-4.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","18","22626","0.0-4.0-6.0-1.2","328.2000000000007","IMG_NO/No9.bmp","68","","","",""
"","html-keyboard-response","19","22921","0.0-4.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","20","23234","0.0-4.0-6.0-1.3","312.21500000000015","IMG_PE/PE1.bmp","75","","","",""
"","html-keyboard-response","21","23529","0.0-4.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","22","23874","0.0-4.0-6.0-1.4","344.1800000000003","IMG_IM/IM10.bmp","68","","","",""
"","html-keyboard-response","23","24169","0.0-4.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","24","24465","0.0-4.0-6.0-1.5","295.9649999999965","IMG_IM/IM14.bmp","75","","","",""
"","html-keyboard-response","25","24761","0.0-4.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","26","25049","0.0-4.0-6.0-1.6","288.07000000000335","IMG_PE/PE11.bmp","68","","","",""
"","html-keyboard-response","27","25345","0.0-4.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","28","25602","0.0-4.0-6.0-1.7","256.1299999999974","IMG_IM/IM6.bmp","75","","","",""
"","html-slider-response","29","28056","0.0-4.0-7.0","2453.385000000002","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","30","38059","0.0-4.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","31","39593","0.0-4.0-9.0","1532.0349999999962","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","32","40114","0.0-5.0-0.0","520.3500000000058","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","33","41019","0.0-5.0-1.0","null","+","null","","","",""
"","html-slider-response","34","42690","0.0-5.0-2.0","1670.125","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","35","48550","0.0-5.0-3.0","5858.840000000004","","","","","","0"
"","html-slider-response","36","50160","0.0-5.0-4.0","1608.0449999999983","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","37","51001","0.0-5.0-5.0","840.5299999999988","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","38","51296","0.0-5.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","39","52794","0.0-5.0-6.0-1.0","1495.9850000000079","IMG_PE/PE12.bmp","68","","","",""
"","html-keyboard-response","40","53089","0.0-5.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","41","53362","0.0-5.0-6.0-1.1","272.4800000000032","IMG_NO/No7.bmp","75","","","",""
"","html-keyboard-response","42","53657","0.0-5.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","43","53866","0.0-5.0-6.0-1.2","208.49000000000524","IMG_NO/No6.bmp","68","","","",""
"","html-keyboard-response","44","54161","0.0-5.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","45","54362","0.0-5.0-6.0-1.3","200.26000000000204","IMG_PE/PE8.bmp","75","","","",""
"","html-keyboard-response","46","54657","0.0-5.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","47","54915","0.0-5.0-6.0-1.4","257.36000000000786","IMG_IM/IM8.bmp","68","","","",""
"","html-keyboard-response","48","55210","0.0-5.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","49","55458","0.0-5.0-6.0-1.5","247.10500000001048","IMG_IM/IM3.bmp","75","","","",""
"","html-keyboard-response","50","55752","0.0-5.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","51","56034","0.0-5.0-6.0-1.6","280.90000000000146","IMG_PE/PE2.bmp","68","","","",""
"","html-keyboard-response","52","56329","0.0-5.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","53","56618","0.0-5.0-6.0-1.7","288.0200000000041","IMG_IM/IM4.bmp","75","","","",""
"","html-slider-response","54","59109","0.0-5.0-7.0","2489.915000000001","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","55","69111","0.0-5.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","56","69898","0.0-5.0-9.0","784.5599999999977","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","57","70587","0.0-6.0-0.0","688.5049999999901","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","58","71492","0.0-6.0-1.0","null","+","null","","","",""
"","html-slider-response","59","73746","0.0-6.0-2.0","2252.75","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","60","80522","0.0-6.0-3.0","6775.130000000005","","","","","","0"
"","html-slider-response","61","82449","0.0-6.0-4.0","1925.5950000000012","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","62","83242","0.0-6.0-5.0","792.125","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","63","83538","0.0-6.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","64","84698","0.0-6.0-6.0-1.0","1159.7800000000134","IMG_PE/PE7.bmp","68","","","",""
"","html-keyboard-response","65","84993","0.0-6.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","66","85154","0.0-6.0-6.0-1.1","160.69500000000698","IMG_NO/No5.bmp","75","","","",""
"","html-keyboard-response","67","85449","0.0-6.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","68","85738","0.0-6.0-6.0-1.2","288.7250000000058","IMG_NO/No8.bmp","68","","","",""
"","html-keyboard-response","69","86033","0.0-6.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","70","86274","0.0-6.0-6.0-1.3","240.47500000000582","IMG_PE/PE14.bmp","75","","","",""
"","html-keyboard-response","71","86569","0.0-6.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","72","86882","0.0-6.0-6.0-1.4","312.6450000000041","IMG_IM/IM13.bmp","68","","","",""
"","html-keyboard-response","73","87177","0.0-6.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","74","87467","0.0-6.0-6.0-1.5","288.54000000000815","IMG_IM/IM15.bmp","75","","","",""
"","html-keyboard-response","75","87762","0.0-6.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","76","88059","0.0-6.0-6.0-1.6","296.5350000000035","IMG_PE/PE13.bmp","68","","","",""
"","html-keyboard-response","77","88354","0.0-6.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","78","88651","0.0-6.0-6.0-1.7","296.50000000001455","IMG_IM/IM5.bmp","75","","","",""
"","html-slider-response","79","91126","0.0-6.0-7.0","2473.975000000006","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","80","101127","0.0-6.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","81","103001","0.0-6.0-9.0","1873.229999999996","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","82","103714","0.0-7.0-0.0","712.2649999999994","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","83","104619","0.0-7.0-1.0","null","+","null","","","",""
"","html-slider-response","84","106488","0.0-7.0-2.0","1866.710000000021","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","85","112998","0.0-7.0-3.0","6508.385000000009","","","","","","0"
"","html-slider-response","86","116329","0.0-7.0-4.0","3330.059999999983","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","87","116866","0.0-7.0-5.0","536.2149999999965","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","88","117161","0.0-7.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","89","121618","0.0-7.0-6.0-1.0","4456.699999999997","IMG_PE/PE5.bmp","68","","","",""
"","html-keyboard-response","90","121913","0.0-7.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","91","122138","0.0-7.0-6.0-1.1","224.21500000001106","IMG_NO/No1.bmp","75","","","",""
"","html-keyboard-response","92","122434","0.0-7.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","93","122797","0.0-7.0-6.0-1.2","360.6849999999977","IMG_NO/No10.bmp","68","","","",""
"","html-keyboard-response","94","123092","0.0-7.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","95","123403","0.0-7.0-6.0-1.3","310.56999999999243","IMG_PE/PE6.bmp","75","","","",""
"","html-keyboard-response","96","123698","0.0-7.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","97","124059","0.0-7.0-6.0-1.4","360.4850000000006","IMG_IM/IM7.bmp","68","","","",""
"","html-keyboard-response","98","124354","0.0-7.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","99","124683","0.0-7.0-6.0-1.5","328.4400000000023","IMG_IM/IM12.bmp","75","","","",""
"","html-keyboard-response","100","124978","0.0-7.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","101","125331","0.0-7.0-6.0-1.6","352.41999999999825","IMG_PE/PE15.bmp","68","","","",""
"","html-keyboard-response","102","125626","0.0-7.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","103","125987","0.0-7.0-6.0-1.7","359.96500000001106","IMG_IM/IM2.bmp","75","","","",""
"","html-slider-response","104","128989","0.0-7.0-7.0","3001.4249999999884","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","4",""
"","html-button-response","105","138990","0.0-7.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","106","140368","0.0-7.0-9.0","1375.8949999999895","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","107","141051","0.0-8.0-0.0","682.4000000000233","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","108","141956","0.0-8.0-1.0","null","+","null","","","",""
"","html-slider-response","109","143776","0.0-8.0-2.0","1818.9100000000035","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","6",""
"","video-button-response","110","150251","0.0-8.0-3.0","6474.169999999984","","","","","","0"
"","html-slider-response","111","151715","0.0-8.0-4.0","1462.3649999999907","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","112","152450","0.0-8.0-5.0","734.5450000000128","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","113","152746","0.0-8.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","114","153458","0.0-8.0-6.0-1.0","712.0199999999895","IMG_PE/PE3.bmp","68","","","",""
"","html-keyboard-response","115","153754","0.0-8.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","116","154010","0.0-8.0-6.0-1.1","255.61000000001513","IMG_NO/No3.bmp","75","","","",""
"","html-keyboard-response","117","154306","0.0-8.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","118","154626","0.0-8.0-6.0-1.2","319.82500000001164","IMG_NO/No2.bmp","68","","","",""
"","html-keyboard-response","119","154922","0.0-8.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","120","155290","0.0-8.0-6.0-1.3","367.52999999999884","IMG_PE/PE4.bmp","75","","","",""
"","html-keyboard-response","121","155585","0.0-8.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","122","155946","0.0-8.0-6.0-1.4","360.7399999999907","IMG_IM/IM1.bmp","68","","","",""
"","html-keyboard-response","123","156241","0.0-8.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","124","156554","0.0-8.0-6.0-1.5","312.48500000001513","IMG_IM/IM11.bmp","75","","","",""
"","html-keyboard-response","125","156849","0.0-8.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","126","157138","0.0-8.0-6.0-1.6","288.70999999999185","IMG_PE/PE10.bmp","68","","","",""
"","html-keyboard-response","127","157435","0.0-8.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","128","157755","0.0-8.0-6.0-1.7","319.44000000003143","IMG_IM/IM9.bmp","75","","","",""
"","html-slider-response","129","160337","0.0-8.0-7.0","2580.0200000000186","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
